#id	name	description	image	created_at	updated_at	category
13	BEN SARGENT'S LOBSTER ROLL	Ben Sargent's buttery lobster roll is unadorned — no seasonings, no celery — and his once top-secret recipe nails the seaside sandwich on the head	CC_Ben-Sargents-Lobster-Roll-Recipe_s4x3_lg.jpg	2012-12-22 02:14:53	2012-12-23 06:26:07	Meaty
14	GRILLED CHEESE SANDWICH	Grill Kelsey's combo of apple, bacon, mustard and cheddar for the perfect salty-sweet grilled cheese sandwich.	CC-kelsey-nixon_grilled-cheese-sandwich-recipe_s4x3_lg.jpg	2012-12-22 02:15:28	2012-12-23 06:26:18	Vegetarian
15	KENTUCKY HOT BROWN	The Hot Brown — an open-faced turkey sandwich topped with bacon and Mornay sauce and then baked until the bread is crispy and the cheesy sauce browns — hails from a hotel in Kentucky.	CC_Kentucky-Hot-Brown-Recipe_s4x3_lg.jpg	2012-12-22 02:22:36	2012-12-23 06:26:34	Meaty
16	GRILLED VEGETABLE PANINI WITH HERBED FETA SPREAD	The salty, herby feta spread, made thick, creamy and tangy with cream cheese and sour cream, almost overshadows all the fresh veggies in this sandwich	CC-kelsey-nixon_grilled-vegetable-sandwich-recipe_s4x3_lg.jpg	2012-12-22 03:36:34	2012-12-23 06:26:48	Vegetarian
17	OPEN-FACED SAUSAGE, 3 PEPPER AND ONION SANDWICHES	Rachael piles these Italian-style sandwiches high with sausage, red sauce and veggies. She uses leftover sauce from her braciole, but it takes just a little more time to start from scratch	CCWID107_Open-Faced-Sausage-3-Pepper-and-Onion-Sandwiches-with-Provolone_s4x3_lg.jpg	2012-12-22 03:38:45	2012-12-23 06:27:02	Meaty
18	TALEGGIO AND PEAR PANINI	This sandwich, oozing with decadent Taleggio cheese, might seem gourmet but is still easy to prepare and eat	CCEDI304_Taleggio-and-Pear-Panini_s4x3_lg.jpg	2012-12-22 03:39:24	2012-12-23 06:27:17	Vegetarian
19	AVOCADO, ROAST TURKEY AND BACON	Tyler roasts his own turkey for this ultimate turkey sandwich, but if short on time you could use deli meat. The kicker is the herbed butter that he uses to cook the turkey and slather on the sandwich bread.	027_and-Bacon-Sandwich-Avacado-Roast-Turkey_s4x3_lg.jpg	2012-12-22 03:40:02	2012-12-23 06:27:28	Meaty
20	CAPRESE SANDWICHES WITH BASIL OIL	With a simple sandwich like the caprese, it's all about the quality, not the quantity, of ingredients; make sure you pick firm tomatoes and the freshest mozzarella and basil available	CCUTG209_Caprese-Sandwiches-with-Basil-Oil_s4x3_lg.jpg	2012-12-22 03:40:41	2012-12-23 06:27:40	Vegetarian
21	THE ULTIMATE STEAK SANDWICH	Tyler takes the steak sandwich to a whole new level by jazzing it up with condiments like arugula mayo and Gruyere bechamel.	CC_The-Ultimate-Steak-Sandwich_s4x3_lg.jpg	2012-12-22 03:41:32	2012-12-23 06:28:06	Meaty
22	SKIRT STEAK QUESADILLAS	These quesadillas — the Mexican equivalent of a sandwich, in our opinion — are amped up with tomatillo guacamole, made from those tart, still-green tomatoes	CC-kelsey-nixon_skirt-steak-quesadillas-recipe_s4x3_lg.jpg	2012-12-22 03:42:13	2012-12-23 06:28:18	Meaty
23	THREE-MINUTE STEAK HOAGIES	Leave it to Rachael Ray to serve up juicy sandwiches with homemade steak sauce in less than five minutes.	CCWID111_Minute-Steak-Hoagies-with-Homemade-Steak-Sauce_s4x3_lg.jpg	2012-12-22 03:43:50	2012-12-23 06:28:35	Meaty
24	DUCK SANDWICH WITH MANGO CHUTNEY	A sweet chutney is the condiment of choice in India, and in Roger's recipe it helps to balance the deeply savory flavor of the duck meat.	CCEDE303_Duck-Sandwich_s4x3_lg.jpg	2012-12-22 03:44:29	2012-12-23 06:28:45	Meaty
25	OPEN-FACED CREAMED CHICKEN SANDWICH	Served hot, this chicken salad tastes like a sandwich version of chicken pot pie. The creamed chicken can be covered and refrigerated for a make-ahead meal. Reheat over medium heat, partially covered.	CCWID311_hot-open-faced-creamed-chicken-recipe_s4x3_lg.jpg	2012-12-22 03:45:09	2012-12-23 06:28:59	Meaty
26	BBQ BRISKET REUBEN	Two Jewish favorites — tender brisket and the Reuben sandwich — combine in this over-the-top sandwich that's perfect for any-time-of-day indulgence.	CCWID109_BBQ-Brisket-Ruben-Sandwich_s4x3_lg.jpg	2012-12-22 03:45:55	2012-12-23 06:29:10	Meaty
27	MEDITERRANEAN SALMON SANDWICH	Two tips to make this salmon sandwich extraordinary: It's best if you make the salmon filling ahead of time to really let the flavors combine, and use an herbed Italian bread for extra flavor if you can find a loaf.	CCPRF_sandwiches-Mediterranean-Salmon_s4x3_lg.jpg	2012-12-22 03:46:38	2012-12-23 06:29:21	Meaty
28	HUNGRY GRILLED GRACELAND SPECIAL	Elvis is known to have loved toasted PB sandwiches with bananas. One bite of this sweet sandwich and you'll understand why.	HI0206H_hungry-grilled-graceland-special_s4x3_lg.jpg	2012-12-22 03:47:27	2012-12-23 06:29:37	Vegetarian
